front,middle,back,hint,label
abode,demeure,مسكن,,noun
abroad,à l'étranger,في الخارج,,adverb
accountable,responsable / redevable,مسؤول,,adjective
accounting,comptabilité,محاسبة,,noun
ahead,devant / en avance / à venir,أمام,,adjective
air conditioner,climatiseur,مكيف هواء,,noun
aircraft carrier,porte-avions,حاملة طائرات,,noun
albeit,bien que,على الرغم من,,conjunction
allegedly,prétendument,يُزعم,,adverb
almond,amande,لوز,,noun
altogether,tout à fait / complétement,تماماً,,adverb
anxious,inquiet,قلق,,adjective
appliances,appareils électroménagers,أجهزة منزلية,,noun
appointment,rendez-vous,موعد,,noun
are we there yet ?,sommes-nous arrivés ?,هل وصلنا بعد ؟,,question
arrive in time,arriver à temps,الوصول في الوقت المحدد,,phrasal_verb
assessment,évaluation,تقييم,,adjective
assessor,évaluateur,مُقيّم,,noun
asset,actif,أصل,,noun
assumption,hypothèse,افتراض,,noun
attendee,participant,حاضر,,noun
attorney,avocat,محامي,,noun
auction,enchère,مزاد,,noun
awareness,conscience,وعي,,noun
backlash,contrecoup,ردة فعل,,noun
bail,caution,كفالة,,noun
bakery,boulangerie,مخبز,,noun
baking soda,bicarbonate de soude,صودا الخبز,,noun
ballot,scrutin,التصويت,,noun
ballpark estimate,estimation approximative,تقدير تقريبي,,phrase
banished,banni,منفي,,adjective
bankruptcy,faillite,إفلاس,,noun
banter,plaisanterie,مزاح,,noun
barefoot,pieds nus,حافي القدمين,,noun
barely,à peine,بالكاد,,adverb
bargain,bonne affaire,صفقة,,noun
bargaining,négociation,تفاوض,,noun
bargaining chip,monnaie d'échange,ورقة ضغط,,noun
bassinet,berceau,سرير أطفال,,noun
bathtub,baignoire,حوض استحمام,,noun
beef up,renforcer,تقوية,,phrasal_verb
beforehand,au préalable,مسبقاً,,adverb
belly,ventre,بطن,,noun
bill,facture,فاتورة,,noun
billboard,panneau d'affichage,لوحة إعلانات,,noun
bite,morsure,عضة,,noun
bitter,amer,مرّ,,adjective
bitterness,amertume,مرارة,,noun
blame shift,Rejeter la faute sur (quelqu'un),إلقاء اللوم على (شخص آخر),,phrase
bleeding,saignement,نزيف,,noun
blender,mixeur,خلاط,,noun
blending,mélange,خليط,,noun
blind spots,angles morts,المناطق العمياء,,phrase
bloom,floraison,ازدهار,,noun
blossom,fleur,زهرة,,noun
blower,ventilateur / soufleur,مروحة,,noun
bogus,faux,مزيف,,noun slang
booking,réservation,حجز,,noun
boredom,l'ennui,ملل,,noun
boulder,rocher,صخرة,,noun
boundary,limite / frontière,حد,,adjective
brackets,crochets,خطافات,,noun
bratwurst,saucisse,نقانق,,noun
breadth,largeur,عرض,,noun
breed,race,عرق,,noun
bride,mariée,عروس,,noun
brink,bord,حافة,,noun
broad,large,واسع,,adjective
bruised,bleu,كدمة,,adjective
bulletproof,pare-balles / blindé,مضاد للرصاص,,adjective
bump,bosse,مطب,,noun
bundle sale,vente groupée,البيع المجمع,,noun
burden,fardeau,عبء,,noun
burgeoning,en plein essor,مزدهر,,adjective
burial,enterrement,جنازة,,noun
butcher,boucher,جزار,,noun
buzzword,mot à la mode,كلمة رائجة,,noun
by tomorrow,d'ici demain,بحلول الغد,,prepositional phrase
capricious,capricieux,متقلب,,adjective
career fair,salon de l'emploi,معرض التوظيف,,noun
carrier,transport,النقل,,noun
carved,sculpté,منحوت,,adjective
catch-all,fourre-tout / receveur,شامل لكل شيء,,noun
caterpillar,chenille,يرقة,,noun
cave,grotte,كهف,,noun
caveat,mise en garde,تحذير,,noun
ceiling,plafond,سقف,,noun
cellar,cave,قبو,,noun
chalk,craie,طباشير,,noun
chasm,gouffre,هاوية,,noun
cheering,applaudissement,تصفيق,,noun
cheesy,ringard,حنطي,,adjective
chicken out,se dégonfler,التراجع,,phrasal_verb
chickpeas,pois chiche,حمص,,noun
chivalry,bravoure,شهامة,,noun
chopstick,baguette,عيدان الأكل,,noun
chore,corvée,عمل روتيني,,noun
chump,idiot,أحمق,,noun slang
chunk,tronçon,قطعة,,noun
cinder block,parpaing,كتلة خرسانية,,noun
clay,argile,طين,,noun
clay court,terre battue,ملعب ترابي,,noun phrase
clever,intelligent,ذكي,,adjective
cliff,falaise,جرف,,noun
clockwise,dans le sens des aiguilles d'une montre,باتجاه عقارب الساعة,,adjective
closet,placard,خزانة,,noun
clout,influence / poids,نفوذ / سطوة,,noun slang
clumsy,maladroit,مرتبك,,adjective
coal,charbon,فحم,,noun
coffin,cercueil,نعش,,noun
cog,rouage,ترس,,noun
cogwheel,roue dentée,عجلة مسننة,,noun
colander,passoire,مصفاة,,noun
collecting stamps,collectionner des timbres,جمع الطوابع,,phrase
comfy,confortable,مريح,,adjective
coming due,à la veille de l'échéance,عشية الموعد النهائي,,phrase
commencement speech,discours de remise des diplômes,خطاب التخرج,,noun phrase
commitment,engagement,التزام,,adjective
compliance,conformité,امتثال,,noun
complicity,complicité,تواطؤ,,noun
confused,confus,مرتبك,,adjective
convenience,commodité,راحة,,noun
cooker,cuisinière,طباخ,,noun
corpse,cadavre,جثة,,noun
cottage,chalet,كوخ,,noun
couch,canapé,أريكة,,noun
cowardly,lâche,جبان,,adjective
cramming them,en les bourant,حشوهم,,phrase
crane,grue,رافعة,,noun
crate,caisse,صندوق,,noun
craved,désiré,مشتهى,,adjective
credentials,informations d'identification,أوراق اعتماد,,noun
crisis,crise,مصيبة,,noun
crowd,foule,حشد,,noun
cubs,oursons,أشبال الدببة,,noun
cuddle,câlin,عناق,,noun
cue,signal,إشارة,,noun
cue the lights,actionner les lumières,تشغيل الأضواء,,phrase
culprit,coupable,الجاني,,noun
cumbersome,lourd,مرهق / ثقيل,,adjective
cupboard,armoire,خزانة,,noun
curly braces,accolades,الأقواس المعقوفة,,noun
curse,malédiction,لعنة,,noun
curtains,rideaux,ستائر,,noun
cutting-edge,avant-gardiste,المتطور والحديث,,adjective
damp,humide,رطب,,adjective
darts,fléchettes,السهام,,noun
deaf,sourd,أصم,,adjective
deck,pont,جسر,,noun
deer,cerf,غزال,,noun
defect,défaut,عيب,,noun
delivery,livraison,توصيل,,noun
deprecated,obsolète,قديم,,adjective
derelict,abandonné,مهجور,,adjective
desperate,désespéré,يائس,,adjective
despite,malgré,بالرغم من,,preposition
detainee,détenu,معتقل,,noun
devoid,dépourvu,خالي,,adjective
diary,agenda,مذكرة,,adjective
dimple,fossette,الدمل,,noun
disgruntled,mécontent,تعيس,,adjective
disguise,déguisement,تنكر,,noun
disgusting,dégeulasse,مقزز,,adjective
at my disposal,à ma disposition,تحت تصرفي,,noun
disruptive,perturbateur,تخريبي,,adjective
do the housework,faire le ménage,القيام بالأعمال المنزلية,,phrase
do you mind if ...,ça te dérange si..., ...هل تمانع إذا,,phrase
do you wanna come over ?,tu veux venir ?,هل تريد أن تأتي ؟,,question
doll,poupée,دمية,,noun
dope,génial,رائع,,noun slang
downstream,en aval,المصب,,noun
drain,vidange,بالُوعَة,,noun
dreadful,terrible,رهيب,,adjective
dreary,morne / triste,كئيب,,adjective
drill,perceuse,مثقاب,,noun
duct tape,ruban adhésif,شريط لاصق,,noun
duffel bag,cabas,حقيبة تسوق,,noun
dull,terne,ممل,,adjective
dwelling,logement,مسكن,,noun
earrings,boucles d'oreilles,الأقراط,,noun
ease,aisance,يُسَهّل,,noun
eavesdropping,écoute clandestine,التنصت,,noun
edible,comestible,صالحة للأكل,,adjective
eggplant,aubergine,باذنجان,,adjective
elderly,âgé,مسن,,adjective
enclosure,enceinte / boitier,حاوية,,noun
endorsement,recommendation / approbation,تَأيِيد,,noun
entrenched incumbents,acteurs établis / opérateurs en place solidement ancrés,أصحاب المناصب الراسخة,,noun phrase
error-prone,sujet aux erreurs,عرضة للخطأ,,adjective
eventually,finalement,وفي النهاية,,adverb
everlasting,éternel,الأبدية,,adjective
exhausted,épuisé,مرهق,,adjective
fabricated,inventé de toutes pièces,ملفقة,,adjective
facilities,installations / équipement,مرافق,,noun
farewell,adieu,وداع,,noun
felony,crime,جناية,,noun
fine dining,restaurant gastronomique,مطعم فاخر,,noun
finicky,pointilleux,دقيق,,adjective
firefighter,pompier,رجل الاطفاء,,noun
flabbergasted,sidéré,مندهش,,adjective
flawless,impeccable,بلا عيوب,,adjective
flip side,côté opposé,الجانب الآخر,,noun
flood,inondation,فيضان,,noun
floppy disk,disquette,قرص مرن,,noun
floppy ears,oreilles tombantes,آذان متدلية,,phrase
fluffy,duveteux,رقيق,,adjective
flush out toxins,éliminer les toxines,طرد السموم,,phrase
flustered,agité,مضطرب,,adjective
foe,ennemi,عدو,,noun
foolproof,infaillible,معصوم من الخطأ,,adjective
forbidden,interdit,مُحرَّم,,adjective
forecast,prévision,تنبؤ بالمناخ,,noun
forensic science,science médico-légale,علم الطب الشرعي,,noun
forensics,criminalistique,الطب الشرعي,,noun
forgery,contrefaçon,تزوير,,noun
frankly,franchement,بصراحة,,adverb
freaky,flippant,مريب,,adjective slang
frightened,effrayé,مرتعب,,adjective
fungus,champignon,فطر,,noun
funnel,entonnoir,قمع,,noun
fur,fourrure,الفراء,,noun
futile,futile,عديم الجدوى,,adjective
gaffer,patron / chef / boss,عجوز,,noun
gathering,rassemblement,تجمع,,noun
genuine,authentique,أصيل,,adjective
genuinely,véritablement / sincèrement,بصدق,,adverb
glitter,paillettes,بريق,,noun
glow worm,ver luisant,دودة توهج,,noun
grape,raisin,العنب,,noun
grasshopper,sauterelle,جندب,,noun
grifter,escroc,خدعة,,noun slang
grocery,épicerie,بقالة,,noun
ground truth,vérité fondamentale,الحقيقة الأرضية,,noun phrase
groundbreaking,révolutionnaire,رائد,,adjective
guardrail,rambarde,الدرابزين,,noun
guilty,coupable,مذنب,,adjective
guts,cran,الشجاعة,,noun
hallmarks,caractéristiques,السمات المميزة,,noun
hallway,couloir,المدخل,,noun
handle,poignée,مقبض,,noun
handout,polycopié,صدقة,,noun
handy,pratique,مفيد,,adjective
hangover,gueule de bois,صداع الكحول,,noun
hardened,endurci,متصلب,,adjective
hardly ever,quasiment jamais,نادرا,,adverb
harmless,inoffensif,غير مؤذية,,adjective
hauling,transport,النقل,,noun
headlines,gros titres,العناوين الرئيسية,,noun
headquarters,quartier général,المقر الرئيسي,,noun
heardresser,coiffeur,حلاق,,noun
heist,braquage,عملية سطو,,noun
helm chart,tableau de bord,لوحة التحكم,,noun
hemorrhage,hémorragie,نزف,,noun
hemp,chanvre,القنب,,noun
hence,par conséquent,لذلك,,adverb conjunction
herding,élevage,الرعي,,noun
high-toil system,système à forte charge opérationnelle,نظام عالي الكدح,,phrase
hike,randonnée,جولة على الأقدام,,noun
hindsight,recul,النظر إلى الماضي,,noun
hitchhiker,auto-stoppeur,المسافر,,noun
hive,ruche,خلية نحل,,noun
horns,cornes,قرون,,noun
hose,tuyau,أنبوب,,noun
hotbed,foyer,بؤرة,,noun
housemaid,femme de ménage,خادمة,,noun
hurdle,obstacle,عقبة,,noun
hush money,argent pour se taire,رشوة لإسكات المارة,,noun
I beg you,je t'en supplie,أرجوك,,phrase
i didn't do it on purpose,je ne l'ai pas fait exprès,لم أفعل ذلك عن قصد,,phrase
i don't mind waiting,ça ne me dérange pas d'attendre,لا أمانع الانتظار,,phrase
i was walking my dog,je promenais mon chien,كنت أتمشى مع كلبي,,phrase
ill-humored,de mauvaise humeur,سيء المزاج,,adjective
ill-intentioned,de mauvaise intention,سيء النية,,adjective
in hindsight,avec le recul,بعد فوات الأوان,,prepositional phrase
incentive,incitation,حافز,,adjective
incoming,entrant,واردة,,noun
It is incumbent upon us to help,il est de notre devoir d'aider,من واجبنا أن نساعد,,adjective
independently,indépendamment,بشكل مستقل,,adverb
infringement,infraction,التعدي,,noun
injured,blessé,مصاب,,adjective
injury,blessure,إصابة,,noun
ink,encre,حبر,,noun
inquiry,enquête,تحقيق,,noun
insight,aperçu,نظرة,,noun
insights,connaissances,معرفة,,noun
intended,destiné,منوي,,adjective
intricacies,subtilités,التعقيدات,,noun
it was great,c'était génial,كانت رائعة,,phrase
jar of jam,pot de confiture,جرة مربى,,phrase
jerk,con,غبي,,noun slang
jerky,saccadé,متشنج,,adjective
jewel,bijou / joyau,جوهرة,,noun
junk,ordure,نفاية,,noun
junkyard,casse,ساحة الخردة,,noun
kidney,rein,كلية,,noun
klin,four,فرن,,noun
knees,genoux,الركبتين,,noun
knob,bouton / poignée,مقبض الباب,,noun
laggards,retardataires,المتخلفون,,noun
lagging,en retard,متخلفة,,adjective
landlord,propriétaire,المالك,,noun
landmark,point de repère,معلم,,noun
lane,voie,درب,,noun
launchly point,point de lancement,نقطة انطلاق,,noun
lawn,gazon,العشب,,noun
layover,escale / halte,توقف,,noun
leak,fuite,تسريب,,noun
leather,cuir,جلد,,noun
ledger,registre,سجل,,noun
leverage,effet de levier,الرافعة المالية,,noun
lid,couvercle,غطاء,,noun
light,léger,خفيف,,noun
likewise,de même,على نفس المنوال / بطريقة مماثلة,,adverb
limb,membre,عضو,,noun
lingering,persistant,مداوم,,noun
list price,prix ​​catalogue,سعر القائمة,,noun
liver,foie,الكبد,,noun
lollipop,sucette,مصاصة,,noun
loony,cinglé,مجنون,,noun slang
loophole,échappatoire,ثغرة,,noun
low-key,discret,نوعاً ما / في الحقيقة,,adjective
luggage,bagage,أمتعة السفر,,noun
lumpy gravy,sauce grumeleuse,مرق متكتل,,adjective
lunchable,déjeuner,غداء,,adjective
lung,poumon,رئة,,noun
mainstay,pilier,العمود,,noun
make room,faire de la place,إفساح المجال,,noun
manor,manoir,قصر,,noun
marble,marbre,رخام,,noun
mattress,matelas,فراش,,noun
mellow,moelleux,يانع,,noun
mermaid,sirène,حورية البحر,,noun
midday,midi,منتصف النهار,,adjective
mildly,doucement,بشكل طفيف,,adverb
mind the gap,attention à l'écart,انتبه بالفجوة,,phrase
misled,induit en erreur,مضلل,,adjective
moans,gémissements,أنين,,noun
mob,mafia,المافيا,,noun slang
mock interview,simulation d'entretien,مقابلة وهمية,,noun phrase
monk,moine,راهب,,noun
mop,serpillière,ممسحة,,noun
mortgage,hypothèque,القرض العقاري,,noun
moth,papillon de nuit,عثة,,noun
mudslinging,dénigrement,التشهير,,noun
mugshot,photo d'identité judiciaire,صورة جنائية,,noun
mulch,paillis,مهاد,,noun
mundane,banal,عادي,,adjective
my car broke down,ma voiture est tombée en panne,تعطلت سيارتي,,phrase
my motto in life,ma devise dans la vie,شعاري في الحياة,,phrase
nail,clou,مسمار,,noun
nap,sieste,قيلولة,,noun
narrow escape,échappé de justesse,هروب ضيق,,noun
nearby,à proximité,قريب,,adjective
neat,soigné,مرتب / أنيق,,adjective
necklace,collier,قلادة,,noun
neither do I,moi non plus,ولا أنا,,phrase
nevertheless,néanmoins,مع ذلك,,adverb
nimble,agile,رشيق,,adjective
no pun intended,sans jeu de mots,بدون تورية مقصودة,,phrase
noon,midi,ظهرا,,noun
nourishing,nourissant,مغذية,,adjective
oath,serment,قسم,,noun
obnoxious,odieux,بغيض,,adjective
offender,délinquant,جاني,,noun
offloading,débarquement,التفريغ,,noun
ointment,pommade,مرهم,,noun
old-fashioned,démodé,قديم,,adjective
old-timey,à l'ancienne,قديم الطراز,,adjective
on behalf of,au nom de,باسم,,phrase
on foot,à pied,سيرا على الأقدام,,prepositional phrase
on set,sur le plateau,موقع التصوير,,prepositional phrase
on site,sur site,في الموقع,,prepositional phrase
on time,à l'heure,في الوقت المحدد,,prepositional phrase
oomph,du punch,جاذبية / حيوية,,noun
ostrich,autruche,نعامة,,noun
outage,panne,انقطاع,,noun
outbreak,épidémie,وباء ,,noun
outburst,explosion,فورة / انفجار,,noun
outlets,points de vente,منافذ / متاجر,,noun
outsourcing,externalisation,الاستعانة بمصادر خارجية,,noun
outspoken,franc,صريح,,adjective
outstanding,exceptionnel,متميز,,adjective
overblown,exagéré,مبالغ فيه,,adjective
overlaid,superposé,مغطى,,adjective
overnight,du jour au lendemain,بين عشية وضحاها,,adverb
oversight,surveillance,الرقابة,,noun
overwhelming,accablant / écrasant,ساحق,,adjective
ownership,possession / propriété,ملكية,,noun
pal,copain,صديق,,noun slang
paperclip,trombone,مشبك الورق,,noun
